nc,Acore,ds1,ds2,m1,Nl1,Jmax,efficiency,powerdensity(KW/L),Tmax,Delta T
1,3,5.000000e-04,5.000000e-04,1,21,2,0.997051,21.635456,320.698461,20.698461
1,3,5.000000e-04,5.000000e-04,1,22,2,0.997046,22.230528,321.381970,21.381970
1,3,5.000000e-04,5.000000e-04,1,23,2,0.997098,22.804094,321.536984,21.536984
1,3,5.000000e-04,5.000000e-04,1,24,2,0.997089,23.357297,322.206271,22.206271
1,3,5.000000e-04,5.000000e-04,1,25,2,0.997078,23.891193,322.865568,22.865568
1,3,5.000000e-04,5.000000e-04,1,26,2,0.997067,24.406759,323.515386,23.515386
1,3,5.000000e-04,5.000000e-04,1,27,2,0.997106,24.904900,323.663464,23.663464
1,3,5.000000e-04,5.000000e-04,1,28,2,0.997092,25.386457,324.301212,24.301212
1,3,5.000000e-04,5.000000e-04,1,29,2,0.997076,25.852211,324.930515,24.930515
1,3,5.000000e-04,5.000000e-04,1,30,2,0.997061,26.302892,325.551747,25.551747
1,3,5.000000e-04,5.000000e-04,2,11,2,0.996959,18.948248,332.105203,32.105203
1,3,5.000000e-04,5.000000e-04,2,12,2,0.996941,20.121496,334.733892,34.733892
1,3,5.000000e-04,5.000000e-04,2,13,2,0.996917,21.121339,336.330135,36.330135
1,3,5.000000e-04,5.000000e-04,2,14,2,0.996887,22.176253,338.825906,38.825906
1,3,5.000000e-04,5.000000e-04,2,15,2,0.996963,23.054777,338.816786,38.816786
1,3,5.000000e-04,5.000000e-04,2,16,2,0.996922,24.007287,341.207582,41.207582
1,3,5.000000e-04,5.000000e-04,2,17,2,0.996880,24.783787,342.655240,42.655240
1,3,5.000000e-04,5.000000e-04,2,18,2,0.996834,25.646962,344.945324,44.945324
1,3,5.000000e-04,5.000000e-04,2,19,2,0.996884,26.336607,344.915675,44.915675
1,3,5.000000e-04,5.000000e-04,2,20,2,0.996833,27.121289,347.124511,47.124511
1,3,5.000000e-04,5.000000e-04,2,21,2,0.996784,27.736231,348.461897,48.461897
1,3,5.000000e-04,5.000000e-04,2,22,2,0.996731,28.451514,350.590415,50.590415
1,3,5.000000e-04,5.000000e-04,2,23,2,0.996766,29.001644,350.547388,50.547388
1,3,5.000000e-04,5.000000e-04,2,24,2,0.996711,29.655224,352.610266,52.610266
1,3,5.000000e-04,5.000000e-04,2,25,2,0.996658,30.148703,353.860873,53.860873
1,3,5.000000e-04,5.000000e-04,2,26,2,0.996602,30.747153,355.857385,55.857385
1,3,5.000000e-04,5.000000e-04,2,27,2,0.996628,31.190792,355.804866,55.804866
1,3,5.000000e-04,5.000000e-04,2,28,2,0.996569,31.739765,357.746693,57.746693
1,3,5.000000e-04,5.000000e-04,2,29,2,0.996515,32.139306,358.926201,58.926201
1,3,5.000000e-04,5.000000e-04,2,30,2,0.996457,32.643700,360.811752,60.811752
1,3,5.000000e-04,5.000000e-04,3,7,2,0.996642,13.554176,335.609565,35.609565
1,3,5.000000e-04,5.000000e-04,3,8,2,0.996601,14.763827,340.173147,40.173147
1,3,5.000000e-04,5.000000e-04,3,9,2,0.996537,15.851690,344.675906,44.675906
1,3,5.000000e-04,5.000000e-04,3,10,2,0.996511,17.142345,347.564866,47.564866
1,3,5.000000e-04,5.000000e-04,3,11,2,0.996611,18.091537,349.214996,49.214996
1,3,5.000000e-04,5.000000e-04,3,12,2,0.996513,18.954279,353.433431,53.433431
1,3,5.000000e-04,5.000000e-04,3,13,2,0.996455,19.968084,355.932095,55.932095
1,3,5.000000e-04,5.000000e-04,3,14,2,0.996353,20.727175,359.934280,59.934280
1,3,5.000000e-04,5.000000e-04,3,15,2,0.996401,21.421896,361.433664,61.433664
1,3,5.000000e-04,5.000000e-04,3,16,2,0.996330,22.233365,363.649065,63.649065
1,3,5.000000e-04,5.000000e-04,3,17,2,0.996220,22.848646,367.433643,67.433643
1,3,5.000000e-04,5.000000e-04,3,18,2,0.996108,23.414391,371.177249,71.177249
1,3,5.000000e-04,5.000000e-04,3,19,2,0.996171,24.073065,370.832925,70.832925
1,3,5.000000e-04,5.000000e-04,3,20,2,0.996058,24.576646,374.427524,74.427524
1,3,5.000000e-04,5.000000e-04,3,21,2,0.995943,25.041162,377.985164,77.985164
1,3,5.000000e-04,5.000000e-04,3,22,2,0.995866,25.581457,379.752368,79.752368
1,3,5.000000e-04,5.000000e-04,3,23,2,0.995878,25.996490,380.996987,80.996987
1,3,5.000000e-04,5.000000e-04,3,24,2,0.995763,26.380124,384.390471,84.390471
1,3,5.000000e-04,5.000000e-04,3,25,2,0.995683,26.826812,386.028469,86.028469
1,3,5.000000e-04,5.000000e-04,3,26,2,0.995570,27.170495,389.296131,89.296131
1,3,5.000000e-04,5.000000e-04,3,27,2,0.995573,27.488551,390.450398,90.450398
1,3,5.000000e-04,5.000000e-04,3,28,2,0.995491,27.859980,391.981391,91.981391
1,3,5.000000e-04,5.000000e-04,3,29,2,0.995378,28.145398,395.116091,95.116091
1,3,5.000000e-04,5.000000e-04,3,30,2,0.995264,28.409634,398.222441,98.222441
1,3,5.000000e-04,5.000000e-04,4,6,2,0.996002,10.510726,341.048145,41.048145
